V4_1,Data Marking,calendar-years,Time,administrative-geography,Geography,week-number,Week,recorded-deaths,Deaths
1186,,2020,2020,E12000005,West Midlands,week-45,Week 45,total-registered-deaths,Total registered deaths
1174,,2020,2020,E12000009,South West,week-45,Week 45,total-registered-deaths,Total registered deaths
,x,2021,2021,E12000002,North West,week-45,Week 45,total-registered-deaths,Total registered deaths
,x,2021,2021,E12000004,East Midlands,week-45,Week 45,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
,x,2021,2021,E12000009,South West,week-45,Week 45,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
,x,2021,2021,E12000003,Yorkshire and The Humber,week-45,Week 45,total-registered-deaths,Total registered deaths
79,,2020,2020,E12000009,South West,week-45,Week 45,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,E12000008,South East,week-45,Week 45,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
,x,2021,2021,K04000001,England and Wales,week-45,Week 45,total-registered-deaths,Total registered deaths
604,,2020,2020,E12000002,North West,week-45,Week 45,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
89,,2020,2020,E12000008,South East,week-45,Week 45,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
153,,2020,2020,E12000001,North East,week-45,Week 45,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,E12000005,West Midlands,week-45,Week 45,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,E12000005,West Midlands,week-45,Week 45,total-registered-deaths,Total registered deaths
952,,2020,2020,E12000007,London,week-45,Week 45,total-registered-deaths,Total registered deaths
,x,2021,2021,E12000006,East of England,week-45,Week 45,total-registered-deaths,Total registered deaths
,x,2021,2021,E12000006,East of England,week-45,Week 45,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
,x,2021,2021,W92000004,Wales,week-45,Week 45,total-registered-deaths,Total registered deaths
184,,2020,2020,W92000004,Wales,week-45,Week 45,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,E12000007,London,week-45,Week 45,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
,x,2021,2021,E12000001,North East,week-45,Week 45,total-registered-deaths,Total registered deaths
1900,,2020,2020,E12000002,North West,week-45,Week 45,total-registered-deaths,Total registered deaths
181,,2020,2020,E12000005,West Midlands,week-45,Week 45,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
138,,2020,2020,E12000008,South East,week-45,Week 45,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,E12000006,East of England,week-45,Week 45,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,E12000001,North East,week-45,Week 45,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,E12000007,London,week-45,Week 45,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,K04000001,England and Wales,week-45,Week 45,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,E12000008,South East,week-45,Week 45,total-registered-deaths,Total registered deaths
166,,2020,2020,W92000004,Wales,week-45,Week 45,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
123,,2020,2020,E12000006,East of England,week-45,Week 45,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,E12000003,Yorkshire and The Humber,week-45,Week 45,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,E12000002,North West,week-45,Week 45,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,E12000003,Yorkshire and The Humber,week-45,Week 45,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
,x,2021,2021,E12000009,South West,week-45,Week 45,total-registered-deaths,Total registered deaths
11812,,2020,2020,K04000001,England and Wales,week-45,Week 45,total-registered-deaths,Total registered deaths
,x,2021,2021,W92000004,Wales,week-45,Week 45,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
902,,2021,2021,E12000005,West Midlands,week-4,Week 4,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
0,,2020,2020,K04000001,England and Wales,week-4,Week 4,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
624,,2021,2021,E12000004,East Midlands,week-4,Week 4,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
610,,2021,2021,E12000004,East Midlands,week-4,Week 4,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
1710,,2021,2021,E12000008,South East,week-4,Week 4,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
2191,,2021,2021,E12000002,North West,week-4,Week 4,total-registered-deaths,Total registered deaths
0,,2020,2020,E12000008,South East,week-4,Week 4,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
1024,,2020,2020,E12000004,East Midlands,week-4,Week 4,total-registered-deaths,Total registered deaths
752,,2021,2021,E12000001,North East,week-4,Week 4,total-registered-deaths,Total registered deaths
0,,2020,2020,E12000003,Yorkshire and The Humber,week-4,Week 4,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
0,,2020,2020,E12000009,South West,week-4,Week 4,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
1231,,2020,2020,E12000005,West Midlands,week-4,Week 4,total-registered-deaths,Total registered deaths
0,,2020,2020,E12000005,West Midlands,week-4,Week 4,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
1187,,2020,2020,E12000003,Yorkshire and The Humber,week-4,Week 4,total-registered-deaths,Total registered deaths
1485,,2021,2021,E12000003,Yorkshire and The Humber,week-4,Week 4,total-registered-deaths,Total registered deaths
974,,2021,2021,W92000004,Wales,week-4,Week 4,total-registered-deaths,Total registered deaths
670,,2021,2021,E12000009,South West,week-4,Week 4,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
1265,,2021,2021,E12000007,London,week-4,Week 4,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
0,,2020,2020,E12000001,North East,week-4,Week 4,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
1297,,2021,2021,E12000006,East of England,week-4,Week 4,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
0,,2020,2020,E12000009,South West,week-4,Week 4,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
0,,2020,2020,E12000005,West Midlands,week-4,Week 4,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
2302,,2021,2021,E12000007,London,week-4,Week 4,total-registered-deaths,Total registered deaths
0,,2020,2020,E12000003,Yorkshire and The Humber,week-4,Week 4,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
420,,2021,2021,E12000003,Yorkshire and The Humber,week-4,Week 4,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
3271,,2021,2021,E12000008,South East,week-4,Week 4,total-registered-deaths,Total registered deaths
0,,2020,2020,K04000001,England and Wales,week-4,Week 4,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
870,,2021,2021,E12000005,West Midlands,week-4,Week 4,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
1525,,2021,2021,E12000008,South East,week-4,Week 4,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
723,,2020,2020,W92000004,Wales,week-4,Week 4,total-registered-deaths,Total registered deaths
0,,2020,2020,E12000002,North West,week-4,Week 4,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
269,,2021,2021,E12000001,North East,week-4,Week 4,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
1926,,2021,2021,E12000005,West Midlands,week-4,Week 4,total-registered-deaths,Total registered deaths
1833,,2020,2020,E12000008,South East,week-4,Week 4,total-registered-deaths,Total registered deaths
0,,2020,2020,E12000006,East of England,week-4,Week 4,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
0,,2020,2020,E12000002,North West,week-4,Week 4,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
1067,,2021,2021,E12000007,London,week-4,Week 4,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
612,,2020,2020,E12000001,North East,week-4,Week 4,total-registered-deaths,Total registered deaths
0,,2020,2020,E12000008,South East,week-4,Week 4,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
0,,2020,2020,E12000001,North East,week-4,Week 4,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
0,,2020,2020,W92000004,Wales,week-4,Week 4,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
0,,2020,2020,E12000007,London,week-4,Week 4,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
0,,2020,2020,E12000004,East Midlands,week-4,Week 4,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
361,,2021,2021,W92000004,Wales,week-4,Week 4,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
284,,2021,2021,E12000001,North East,week-4,Week 4,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
350,,2021,2021,W92000004,Wales,week-4,Week 4,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
0,,2020,2020,E12000007,London,week-4,Week 4,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
462,,2021,2021,E12000003,Yorkshire and The Humber,week-4,Week 4,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
2350,,2021,2021,E12000006,East of England,week-4,Week 4,total-registered-deaths,Total registered deaths
968,,2021,2021,E12000002,North West,week-4,Week 4,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
1775,,2021,2021,E12000009,South West,week-4,Week 4,total-registered-deaths,Total registered deaths
1253,,2020,2020,E12000009,South West,week-4,Week 4,total-registered-deaths,Total registered deaths
0,,2020,2020,W92000004,Wales,week-4,Week 4,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
1403,,2021,2021,E12000004,East Midlands,week-4,Week 4,total-registered-deaths,Total registered deaths
1529,,2020,2020,E12000002,North West,week-4,Week 4,total-registered-deaths,Total registered deaths
1410,,2020,2020,E12000006,East of England,week-4,Week 4,total-registered-deaths,Total registered deaths
18448,,2021,2021,K04000001,England and Wales,week-4,Week 4,total-registered-deaths,Total registered deaths
11856,,2020,2020,K04000001,England and Wales,week-4,Week 4,total-registered-deaths,Total registered deaths
0,,2020,2020,E12000004,East Midlands,week-4,Week 4,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
1128,,2021,2021,E12000006,East of England,week-4,Week 4,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
910,,2021,2021,E12000002,North West,week-4,Week 4,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
695,,2021,2021,E12000009,South West,week-4,Week 4,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
1028,,2020,2020,E12000007,London,week-4,Week 4,total-registered-deaths,Total registered deaths
0,,2020,2020,E12000006,East of England,week-4,Week 4,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
8433,,2021,2021,K04000001,England and Wales,week-4,Week 4,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
7970,,2021,2021,K04000001,England and Wales,week-4,Week 4,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
510,,2020,2020,E12000003,Yorkshire and The Humber,week-46,Week 46,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
176,,2020,2020,E12000008,South East,week-46,Week 46,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
1099,,2020,2020,E12000004,East Midlands,week-46,Week 46,total-registered-deaths,Total registered deaths
1616,,2020,2020,E12000008,South East,week-46,Week 46,total-registered-deaths,Total registered deaths
1350,,2020,2020,E12000003,Yorkshire and The Humber,week-46,Week 46,total-registered-deaths,Total registered deaths
124,,2020,2020,E12000007,London,week-46,Week 46,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
,x,2021,2021,W92000004,Wales,week-46,Week 46,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,E12000007,London,week-46,Week 46,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,K04000001,England and Wales,week-46,Week 46,total-registered-deaths,Total registered deaths
1317,,2020,2020,E12000005,West Midlands,week-46,Week 46,total-registered-deaths,Total registered deaths
,x,2021,2021,E12000005,West Midlands,week-46,Week 46,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
615,,2020,2020,E12000002,North West,week-46,Week 46,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
,x,2021,2021,E12000001,North East,week-46,Week 46,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
,x,2021,2021,K04000001,England and Wales,week-46,Week 46,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,E12000005,West Midlands,week-46,Week 46,total-registered-deaths,Total registered deaths
190,,2020,2020,W92000004,Wales,week-46,Week 46,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
1168,,2020,2020,E12000009,South West,week-46,Week 46,total-registered-deaths,Total registered deaths
,x,2021,2021,K04000001,England and Wales,week-46,Week 46,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
,x,2021,2021,E12000001,North East,week-46,Week 46,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
144,,2020,2020,E12000006,East of England,week-46,Week 46,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,E12000002,North West,week-46,Week 46,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
711,,2020,2020,E12000001,North East,week-46,Week 46,total-registered-deaths,Total registered deaths
179,,2020,2020,E12000001,North East,week-46,Week 46,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,E12000004,East Midlands,week-46,Week 46,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,E12000003,Yorkshire and The Humber,week-46,Week 46,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
2466,,2020,2020,K04000001,England and Wales,week-46,Week 46,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
1112,,2020,2020,E12000007,London,week-46,Week 46,total-registered-deaths,Total registered deaths
144,,2020,2020,E12000008,South East,week-46,Week 46,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
1172,,2020,2020,E12000006,East of England,week-46,Week 46,total-registered-deaths,Total registered deaths
,x,2021,2021,W92000004,Wales,week-46,Week 46,total-registered-deaths,Total registered deaths
132,,2020,2020,E12000007,London,week-46,Week 46,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,E12000009,South West,week-46,Week 46,total-registered-deaths,Total registered deaths
,x,2021,2021,E12000007,London,week-46,Week 46,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
,x,2021,2021,E12000008,South East,week-46,Week 46,total-registered-deaths,Total registered deaths
,x,2021,2021,E12000004,East Midlands,week-46,Week 46,total-registered-deaths,Total registered deaths
275,,2020,2020,E12000004,East Midlands,week-46,Week 46,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,E12000003,Yorkshire and The Humber,week-46,Week 46,total-registered-deaths,Total registered deaths
742,,2020,2020,W92000004,Wales,week-46,Week 46,total-registered-deaths,Total registered deaths
2675,,2020,2020,K04000001,England and Wales,week-46,Week 46,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,E12000003,Yorkshire and The Humber,week-46,Week 46,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
245,,2020,2020,E12000004,East Midlands,week-46,Week 46,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
450,,2020,2020,E12000003,Yorkshire and The Humber,week-46,Week 46,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
284,,2020,2020,E12000005,West Midlands,week-46,Week 46,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
296,,2020,2020,E12000005,West Midlands,week-46,Week 46,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
132,,2020,2020,E12000006,East of England,week-46,Week 46,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
,x,2021,2021,E12000008,South East,week-46,Week 46,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
639,,2020,2020,E12000002,North West,week-46,Week 46,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,E12000006,East of England,week-46,Week 46,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
,x,2021,2021,E12000009,South West,week-46,Week 46,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
,x,2021,2021,E12000004,East Midlands,week-46,Week 46,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
,x,2021,2021,E12000007,London,week-46,Week 46,total-registered-deaths,Total registered deaths
,x,2021,2021,E12000009,South West,week-46,Week 46,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,E12000001,North East,week-46,Week 46,total-registered-deaths,Total registered deaths
,x,2021,2021,E12000005,West Midlands,week-46,Week 46,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
,x,2021,2021,E12000006,East of England,week-46,Week 46,total-registered-deaths,Total registered deaths
,x,2021,2021,E12000002,North West,week-46,Week 46,total-registered-deaths,Total registered deaths
,x,2021,2021,W92000004,Wales,week-46,Week 46,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
100,,2020,2020,E12000009,South West,week-46,Week 46,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
,x,2021,2021,E12000006,East of England,week-46,Week 46,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
103,,2020,2020,E12000009,South West,week-46,Week 46,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,E12000008,South East,week-46,Week 46,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
,x,2021,2021,E12000002,North West,week-46,Week 46,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
218,,2020,2020,W92000004,Wales,week-46,Week 46,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
180,,2020,2020,E12000001,North East,week-46,Week 46,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
12254,,2020,2020,K04000001,England and Wales,week-46,Week 46,total-registered-deaths,Total registered deaths
1950,,2020,2020,E12000002,North West,week-46,Week 46,total-registered-deaths,Total registered deaths
539,,2020,2020,K04000001,England and Wales,week-13,Week 13,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
24,,2020,2020,E12000004,East Midlands,week-13,Week 13,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
483,,2021,2021,W92000004,Wales,week-13,Week 13,total-registered-deaths,Total registered deaths
12,,2020,2020,E12000003,Yorkshire and The Humber,week-13,Week 13,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
18,,2021,2021,E12000009,South West,week-13,Week 13,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
69,,2020,2020,E12000008,South East,week-13,Week 13,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
13,,2021,2021,W92000004,Wales,week-13,Week 13,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
1182,,2020,2020,E12000006,East of England,week-13,Week 13,total-registered-deaths,Total registered deaths
60,,2020,2020,E12000002,North West,week-13,Week 13,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
64,,2021,2021,E12000002,North West,week-13,Week 13,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
15,,2020,2020,E12000001,North East,week-13,Week 13,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
1092,,2020,2020,E12000009,South West,week-13,Week 13,total-registered-deaths,Total registered deaths
1822,,2020,2020,E12000008,South East,week-13,Week 13,total-registered-deaths,Total registered deaths
719,,2020,2020,W92000004,Wales,week-13,Week 13,total-registered-deaths,Total registered deaths
848,,2021,2021,E12000003,Yorkshire and The Humber,week-13,Week 13,total-registered-deaths,Total registered deaths
51,,2021,2021,E12000005,West Midlands,week-13,Week 13,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
65,,2021,2021,E12000008,South East,week-13,Week 13,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
19,,2021,2021,E12000001,North East,week-13,Week 13,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
258,,2020,2020,E12000005,West Midlands,week-13,Week 13,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
40,,2021,2021,E12000004,East Midlands,week-13,Week 13,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
400,,2021,2021,K04000001,England and Wales,week-13,Week 13,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
55,,2021,2021,E12000008,South East,week-13,Week 13,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
97,,2020,2020,E12000004,East Midlands,week-13,Week 13,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
150,,2020,2020,E12000006,East of England,week-13,Week 13,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
42,,2020,2020,E12000001,North East,week-13,Week 13,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
542,,2020,2020,E12000001,North East,week-13,Week 13,total-registered-deaths,Total registered deaths
63,,2020,2020,E12000009,South West,week-13,Week 13,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
922,,2020,2020,E12000004,East Midlands,week-13,Week 13,total-registered-deaths,Total registered deaths
1035,,2020,2020,E12000005,West Midlands,week-13,Week 13,total-registered-deaths,Total registered deaths
8201,,2021,2021,K04000001,England and Wales,week-13,Week 13,total-registered-deaths,Total registered deaths
655,,2021,2021,E12000004,East Midlands,week-13,Week 13,total-registered-deaths,Total registered deaths
865,,2021,2021,E12000009,South West,week-13,Week 13,total-registered-deaths,Total registered deaths
38,,2021,2021,E12000003,Yorkshire and The Humber,week-13,Week 13,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
366,,2021,2021,K04000001,England and Wales,week-13,Week 13,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
841,,2021,2021,E12000006,East of England,week-13,Week 13,total-registered-deaths,Total registered deaths
449,,2021,2021,E12000001,North East,week-13,Week 13,total-registered-deaths,Total registered deaths
19,,2020,2020,E12000009,South West,week-13,Week 13,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
61,,2020,2020,E12000003,Yorkshire and The Humber,week-13,Week 13,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
722,,2020,2020,E12000007,London,week-13,Week 13,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
73,,2020,2020,W92000004,Wales,week-13,Week 13,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
37,,2021,2021,E12000003,Yorkshire and The Humber,week-13,Week 13,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
48,,2021,2021,E12000007,London,week-13,Week 13,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
43,,2021,2021,E12000006,East of England,week-13,Week 13,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
244,,2020,2020,E12000008,South East,week-13,Week 13,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
881,,2021,2021,E12000005,West Midlands,week-13,Week 13,total-registered-deaths,Total registered deaths
15,,2021,2021,W92000004,Wales,week-13,Week 13,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
237,,2020,2020,E12000007,London,week-13,Week 13,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
11141,,2020,2020,K04000001,England and Wales,week-13,Week 13,total-registered-deaths,Total registered deaths
31,,2021,2021,E12000006,East of England,week-13,Week 13,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
741,,2021,2021,E12000007,London,week-13,Week 13,total-registered-deaths,Total registered deaths
47,,2021,2021,E12000004,East Midlands,week-13,Week 13,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
1297,,2020,2020,E12000007,London,week-13,Week 13,total-registered-deaths,Total registered deaths
